98.00	100.00	82.00	60.67	
68.00	87.00	69.00	52.00	
89.00	90.00	85.00	58.33	
74.00	83.00	78.00	53.67	
69.00	78.00	84.00	54.00	
78.00	98.00	78.00	58.67	
89.00	89.00	79.00	56.00	
96.00	89.00	93.00	60.67	
89.00	90.00	85.00	58.33	
75.00	63.00	84.00	49.00	
62.00	53.00	71.00	41.33	
82.00	74.00	80.00	51.33	
0.00	38.00	51.00	29.67	
85.00	27.00	49.00	25.33	
74.00	92.00	75.00	55.67	
69.00	83.00	71.00	51.33	
98.00	100.00	91.00	63.67	
79.00	63.00	84.00	49.00	
93.00	95.00	71.00	55.33	
89.00	84.00	70.00	51.33	
